Object Number,Collection,Name,Description,combined_text,Maker,Place Made,Date Made,Materials,Measurements,Collection Online Title
1993-191,SCM - Textiles Machinery,silk weaving loom,"Silk or cotton braid making machine/loom made by Parker and Sons Ltd, Hackney Road, London, early 20th century","silk weaving loom: Silk or cotton braid making machine/loom made by Parker and Sons Ltd, Hackney Road, London, early 20th century",Parker and Sons Ltd. (maker),"London, Greater London, England, United Kingdom",,,,Silk or cotton braid making machine/loom made by P
1993-428,SCM - Textiles Machinery,tape loom,"Wooden handloom for making braid with accessories, bobbins and samples of braid in glass fronted display case","tape loom: Wooden handloom for making braid with accessories, bobbins and samples of braid in glass fronted display case",Unknown maker,Unknown place,,softwood,overall: 2.22 x .85 x 2.2 m,"Wooden handloom for making braid with accessories,"
1993-428/1,SCM - Textiles Machinery,tape loom,Hand loom,tape loom: Hand loom,Unknown maker,Europe,,soft wood,overall: 86.6142 x 33.4646 x 86.6142 in.; 220 x 85 x 220 cm,Hand loom
1993-428/2,SCM - Textiles Machinery,tape loom,"Loom weights, reed, levers and foot treadles","tape loom: Loom weights, reed, levers and foot treadles",,,,,,"Loom weights, reed, levers and foot treadles"
1993-428/3,SCM - Textiles Machinery,tape loom,Small loom weights,tape loom: Small loom weights,,,,,,Small loom weights
1993-428/4,SCM - Textiles Machinery,tape loom reels,A collection of various sized reels - 15 total,tape loom reels: A collection of various sized reels - 15 total,,,,,,A collection of various sized reels - 15 total
1993-428/5,SCM - Textiles Machinery,Shuttles and reels- tape loom,"6 incomplete shuttle (shells only), various small reels and a box of small metal objects collected with the loom but not necessarily associated with it, these include small clampable winder, various brackets, levers","Shuttles and reels- tape loom: 6 incomplete shuttle (shells only), various small reels and a box of small metal objects collected with the loom but not necessarily associated with it, these include small clampable winder, various brackets, levers",,,,,,"6 incomplete shuttle (shells only), various small "
1993-428/6,SCM - Textiles Machinery,braid cord & tassles,"Glass and wood display cupboard with samples of braid, cord and tassles","braid cord & tassles: Glass and wood display cupboard with samples of braid, cord and tassles",,,,,,Glass and wood display cupboard with samples of br
1993-428/7,SCM - Textiles Machinery,braid- tape loom,Additional samples of braids,braid- tape loom: Additional samples of braids,,,,,,Additional samples of braids
1993-614,SCM - Textiles Machinery,weaving loom,Ammunition pouch and webbing weaving loom,weaving loom: Ammunition pouch and webbing weaving loom,,,,,,Ammunition pouch and webbing weaving loom
1993-614/1,SCM - Textiles Machinery,,Webbing weaving loom,: Webbing weaving loom,,,,,,Webbing weaving loom
1993-614/2,SCM - Textiles Machinery,,"Two wire mesh guards, smaller for guarding bevel drive front lower left side, larger for main motor belt drive",": Two wire mesh guards, smaller for guarding bevel drive front lower left side, larger for main motor belt drive",,,,,,"Two wire mesh guards, smaller for guarding bevel d"
1993-614/3,SCM - Textiles Machinery,,10 Warp reels. These mounted on part /5 at front lower end. 4 of these filled with warp,: 10 Warp reels. These mounted on part /5 at front lower end. 4 of these filled with warp,,,,,,10 Warp reels. These mounted on part /5 at front l
1993-614/4,SCM - Textiles Machinery,,"3 warp reels (direct drive type), one is broken. These for mounting front end mid height. 1 warp reel for mounting at high level",": 3 warp reels (direct drive type), one is broken. These for mounting front end mid height. 1 warp reel for mounting at high level",,,,,,"3 warp reels (direct drive type), one is broken. T"
1993-614/5,SCM - Textiles Machinery,,"3 cages for holding item 3 on the loom, two of these with spindle. The cages would bolt to bottom front of loom",": 3 cages for holding item 3 on the loom, two of these with spindle. The cages would bolt to bottom front of loom",,,,,,"3 cages for holding item 3 on the loom, two of the"
1993-614/6,SCM - Textiles Machinery,,4 cast-brackets to be bolted at high level front to support reels. 2 short cast brackets,: 4 cast-brackets to be bolted at high level front to support reels. 2 short cast brackets,,,,,,4 cast-brackets to be bolted at high level front t
1993-614/7,SCM - Textiles Machinery,,5 spindles 420mm long; 4 spindles 390mm long; 2 spindles 28mm long; 1 stub and nut,: 5 spindles 420mm long; 4 spindles 390mm long; 2 spindles 28mm long; 1 stub and nut,,,,,,5 spindles 420mm long; 4 spindles 390mm long; 2 sp
1993-614/8,SCM - Textiles Machinery,,"Two C.I. supports and part of one that is broken. One cast iron bracket and stud & nut. Large washer, two dry bearings and two pattern chain washers. 2 bracket fixing bolts",": Two C.I. supports and part of one that is broken. One cast iron bracket and stud & nut. Large washer, two dry bearings and two pattern chain washers. 2 bracket fixing bolts",,,,,,Two C.I. supports and part of one that is broken. 
1993-614/9,SCM - Textiles Machinery,,One revolution counter with two digital counter scales. For positioning on revolution counter drive fixed to horizontal drive shaft on the loom,: One revolution counter with two digital counter scales. For positioning on revolution counter drive fixed to horizontal drive shaft on the loom,,,,,,One revolution counter with two digital counter sc
1993-614/10,SCM - Textiles Machinery,weights,"16 weights, 5 weight holding rods; 1 cranked weight holding rod; 1 oil can","weights: 16 weights, 5 weight holding rods; 1 cranked weight holding rod; 1 oil can",,,,,,"16 weights, 5 weight holding rods; 1 cranked weigh"
1993-614/11,SCM - Textiles Machinery,shuttle holders,2 shuttle holders complete. 2 incomplete shuttle holders are also attached to the loom,shuttle holders: 2 shuttle holders complete. 2 incomplete shuttle holders are also attached to the loom,,,,,,2 shuttle holders complete. 2 incomplete shuttle h
1993-926,SCM - Textiles Machinery,sewing,"sewing machine box made by Moldacot Pocket Sewing Machine Co., 1886-1888.","sewing: sewing machine box made by Moldacot Pocket Sewing Machine Co., 1886-1888.",Moldacot Pocket Sewing Machine Company (maker),,1886-1887,,,sewing machine box
1994-128,SCM - Textiles Machinery,,"Knitting machine for shaped Hose making by Wildman Manufacturing Co., Norristown, USA, 1950-1969",": Knitting machine for shaped Hose making by Wildman Manufacturing Co., Norristown, USA, 1950-1969",Wildmann Manufacturing Co. (maker),"Norristown, Montgomery County, Pennsylvania, United States",1950-1969,,,Knitting machine for shaped Hose making by Wildman
1994-128/1,SCM - Textiles Machinery,,"Knitting machine for shaped hose made by Wildman Manufacturing Co, Norristown, USA - 1950 to 1960",": Knitting machine for shaped hose made by Wildman Manufacturing Co, Norristown, USA - 1950 to 1960",,,,,,Knitting machine for shaped hose made by Wildman M
1994-128/2,SCM - Textiles Machinery,,"Hose feeder frame, broken off at cast iron support bracket from main machine",": Hose feeder frame, broken off at cast iron support bracket from main machine",,,,,,"Hose feeder frame, broken off at cast iron support"
1994-128/3,SCM - Textiles Machinery,,2 steel rods in cast iron bracket and broken bracket which fitted to LH rear of machine,: 2 steel rods in cast iron bracket and broken bracket which fitted to LH rear of machine,,,,,,2 steel rods in cast iron bracket and broken brack
1994-128/4,SCM - Textiles Machinery,,"Aluminium alloy guard, (fits over main feed screw); small tin box with broken CI bracket, spiral spring, bent wire and wing nut. One tee bar wrench",": Aluminium alloy guard, (fits over main feed screw); small tin box with broken CI bracket, spiral spring, bent wire and wing nut. One tee bar wrench",,,,,,"Aluminium alloy guard, (fits over main feed screw)"
1994-129,SCM - Textiles Machinery,,"Textile machine performing a ""Sewing"" action, perhaps for making cut fringe, found at Hayes Store. 1880-1930",": Textile machine performing a ""Sewing"" action, perhaps for making cut fringe, found at Hayes Store. 1880-1930",,,,,,"Textile machine performing a ""Sewing"" action, perh"
1994-1314,SCM - Textiles Machinery,"knitting row counter, needle size gauge","MP Handy Guide for knitting and crochet work, reg. design No. 813814; and knitting needle gauge, reg. design no. 838984. The two items were sold as a set. The guide is used by the knitter to record progress of knitting in respect of casting on/off, number of rows knitted etc. The needle gauge is used to ascertain knitting needle diameter and as a short tape measure.","knitting row counter, needle size gauge: MP Handy Guide for knitting and crochet work, reg. design No. 813814; and knitting needle gauge, reg. design no. 838984. The two items were sold as a set. The guide is used by the knitter to record progress of knitting in respect of casting on/off, number of rows knitted etc. The needle gauge is used to ascertain knitting needle diameter and as a short tape measure.",,,1945-1955,steel; card,overall: 95 x 120 x 10 mm,"MP Handy Guide for knitting and crochet work, reg."
1995-564,SCM - Textiles Machinery,sewing,Bradbury Universal Feed Lockstitch Repairing and Bootmaking Sewing Machine 1876,sewing: Bradbury Universal Feed Lockstitch Repairing and Bootmaking Sewing Machine 1876,Bradbury and Co. (maker),,1878,"frame, cast iron; worktop, wood; treadle, cast iron; mechanicals, steel; mechanicals, wrought iron",length 865 mm; depth 520 mm; height 1110 mm,shoe maker's sewing machine
1997-1679,SCM - Textiles Machinery,sewing,"Borletti type 1102 Semi-automatic sewing machine with a combined case and foldaway table, a complete range of accessories, instruction books, stitch cams and examples of stitches produced by these cams, c1964.","sewing: Borletti type 1102 Semi-automatic sewing machine with a combined case and foldaway table, a complete range of accessories, instruction books, stitch cams and examples of stitches produced by these cams, c1964.",Borletti,"Milan, Milano, Lombardy, Italy",1964-1965,"plastic,steel and wood",,semi automatic sewing machine
1997-1679/1 Pt1,SCM - Textiles Machinery,sewing,Borletti type 1102 Semi-automatic sewing machine,sewing: Borletti type 1102 Semi-automatic sewing machine,Borletti,"Milan, Milano, Lombardy, Italy",1964-1965,"plastic,steel",Sewing machine head: 28 x 42 x 18 cm,semi automatic sewing machine
1997-1679/1 Pt2,SCM - Textiles Machinery,sewing,Sewing machine carrying case able to be transformed into a sewing machine table with four steel legs,sewing: Sewing machine carrying case able to be transformed into a sewing machine table with four steel legs,Borletti,"Milan, Milano, Lombardy, Italy",1964-1965,"plastic,steel and wood",case: 43 x 70 x 22.5 cm,sewing machine case
1997-1679/1 Pt3,SCM - Textiles Machinery,sewing,Foot controller by Riccar and power cabling and plug for a Borletti sewing machine.,sewing: Foot controller by Riccar and power cabling and plug for a Borletti sewing machine.,Riccar,Japan,1964-1965,"plastic,steel and wood",Foot controller 8 x 14 x 11 cm,sewing machine foot controller
1997-1679/2,SCM - Textiles Machinery,sewing,"Four boxes of front and back sewing machine cams used to produce embroidery designs and stitch patterns, including a set to produce the letters of the alphabet.","sewing: Four boxes of front and back sewing machine cams used to produce embroidery designs and stitch patterns, including a set to produce the letters of the alphabet.",Borletti,"Milan, Milano, Lombardy, Italy",1964-1965,plastic,All boxes stacked 19.5 x 15 x 22 cm,sewing machine embroidery cams
1997-1679/3,SCM - Textiles Machinery,sewing machine accessory; storage box,"A plastic storage box by Tupperware containing sewing machine needles small accessories and small  samples of  work; and an envelope containing single, double and triple needles.","sewing machine accessory; storage box: A plastic storage box by Tupperware containing sewing machine needles small accessories and small  samples of  work; and an envelope containing single, double and triple needles.",Tupperware,,1964-1965,polyethylene (polythene),"storage box: 80 mm x 250 mm x 170 mm,",Tupperware box containing sewing machine accessories
1997-1679/4 Pt1,SCM - Textiles Machinery,sewing,"Borletti instruction book for models 1100, 1101 and 1102..","sewing: Borletti instruction book for models 1100, 1101 and 1102..",Borletti,"Milan, Milano, Lombardy, Italy",1964-1965,,book 22 x 15 x .5 cm,sewing machine  instruction books
1997-1679/4 Pt2,SCM - Textiles Machinery,sewing,"Borletti instruction book for models 2200, 2202, 1102.'Encyclopedia of the automatic embroidery patterns'","sewing: Borletti instruction book for models 2200, 2202, 1102.'Encyclopedia of the automatic embroidery patterns'",Borletti,"Milan, Milano, Lombardy, Italy",1964-1965,,15 x 21.2 x .05 cm,sewing machine  instruction books
